subset,id,questionText,cluster_id,clusters
stack,0,How can I avoid rakk attacks?,0,"[['Some rakk flocks are just hanging around, especially early on']]"
stack,0,How can I avoid rakk attacks?,1,[['That usually makes them miss']]
stack,0,How can I avoid rakk attacks?,2,"[['You are playing Borderlands 2, not Hitman: Absolution']]"
stack,0,How can I avoid rakk attacks?,3,"[['Even if I jump at the last second, Rakk still end up somehow scoring a hit on me']]"
stack,0,How can I avoid rakk attacks?,4,"[[""It's fairly easy to drop one"", ""Rakks attack straight-line and don't have huge health bars"", ""I've successfully used shotguns, assault rifles, and pistols (both repeaters and revolvers)"", 'rakk move fast, and can easily dodge your attacks', ""They tend to fly in a line so you'll have a good angle to shoot one after another as they fall"", 'the spread of the pellets allows for almost insta-kills at close range']]"
stack,0,How can I avoid rakk attacks?,5,"[[""they aren't too high-level"", 'a spike shield damages all melee attackers', 'Rakks have quite low HP'], ['you have a good shield']]"
stack,0,How can I avoid rakk attacks?,6,"[['When the rakk hits you, it takes damage, and usually enough to kill it']]"
stack,0,How can I avoid rakk attacks?,7,[['You have infinite ammo and a bigger stack of health']]
stack,0,How can I avoid rakk attacks?,10,"[['It prevents the attacks from that side', 'The rakks tend to get hung up on the wall trying to finish their swoop, which makes them easy targets']]"
stack,1,Word for cheating off of another person's test in class,0,"[['Dr. John Fremer wrote an op-ed article for the AJC'], ['if there were, I think it would have appeared in the press by now']]"
stack,1,Word for cheating off of another person's test in class,1,"[[""the students are definitely 'cooperating' in a sense"", ""To copy something from someone is less harsh than using the word 'cheating'"", ""I couldn't be bothered doing my homework, so instead I just copied the correct answers from my mate"", ""cooperating doesn't really convey the feeling that they are doing something wrong/forbidden"", 'To copy something from someone is used in the particular way you mentioned as well', ""cheating means using another person's answers on a test"", 'Mark copied his exam answers from Peter']]"
stack,1,Word for cheating off of another person's test in class,2,"[['the cheating is elaborate', 'there are a lot of students', 'a secret plan by a group to do something unlawful or harmful'], ['secret or illegal cooperation or conspiracy, especially in order to cheat or deceive others; an often secret action taken by two or more parties to achieve an illegal or improper purpose. -AHDEL']]"
stack,1,Word for cheating off of another person's test in class,3,"[[""cribbing (informal) - copy (another person's work) illicitly or without acknowledgment"", 'Mark cribbed his answers from Peter', ""Mark was cribbing Peter's answers""]]"
stack,1,Word for cheating off of another person's test in class,6,"[[""The action or practice of taking someone else’s work, idea, etc., and passing it off as one's own"", 'This sense and definition, and its application to text-cribbing, strongly prevail in academic discourse on academic integrity']]"
stack,2,"When, if ever, are dried herbs preferable to fresh herbs?",0,"[['the dry is usually more concentrated', 'the fresh herbs tend to have a fresher, yet milder flavor', 'drying shrinks the herb concentrating the flavour']]"
stack,2,"When, if ever, are dried herbs preferable to fresh herbs?",3,"[[""if you've seen someone put fresh basil on a pizza before baking it, you can observe what happens"", 'There is so much variation between herbs in how they respond to the drying process.', 'bayleaf and oregano are examples of such herbs', 'Dried herbs take a while to impart flavor', 'Rosemary on the other hand maintains its flavour very well when dried.', 'Basil, for instance, loses most of it intense flavor in the drying process.', 'Most kinds of oregano have a very different flavour when dried.', 'the oils can evaporate and cook away quicker', 'same goes for sauces like tomato sauce that simmer for hours', 'fresh herbs are tenderer and can do a flavor dump very early in the process']]"
stack,2,"When, if ever, are dried herbs preferable to fresh herbs?",4,[['The above refers to regular drying.']]
stack,2,"When, if ever, are dried herbs preferable to fresh herbs?",5,[['crushing dried herbs helps release the essential oils in the dried herbs']]
stack,2,"When, if ever, are dried herbs preferable to fresh herbs?",6,[['I use both- dried or sturdier herbs at the beginning & fresher/more tender herbs at the end when the dish is pulled off the heat']]
stack,2,"When, if ever, are dried herbs preferable to fresh herbs?",7,[['you can grind them up properly']]
stack,3,Is it a bad idea to attach my strap just above the nut?,0,"[['You can also see the relatively thick neck that, along with the light weight, makes attaching the strap to the headstock not be a problem', 'The truss rod and neck are set up to cope with high levels of tension', 'Guitars are made to balance with the strap attached to the body', 'our necks are much thinner than a guitar neck', 'I have been using mine that way for decades, without any problem', 'the weight of a banjo is primarily in the pot', ""Unless you jump up and down a lot, the bending moment on the neck shouldn't be an issue"", 'These banjos come with a screw-eye in the headstock for attaching a strap', 'hanging the whole instrument from necks adds stress quite in a different direction and outside of its design', 'The banjos made by Backyard Music weigh a bit less than two pounds, most of it in the neck, and have a relatively thick neck', 'necks tend to be thin and primarily designed to deal with the forces of the strings', 'it would most surely cause tuning problems, to say the least', ""It hangs comfortably and doesn't go out of tune whether I wear the strap or not""]]"
stack,4,Are there any microbrewery in Lisbon/Tomar in portugal?,0,"[[""The beers they sell commonly aren't too much on the hoppy-side"", 'There are a few other styles it seems, but no real specialty brew', 'From what I found about the usual style of beer over there, it seems that lagers are very common'], ['Lisbon seems to be a wine destination']]"
stack,4,Are there any microbrewery in Lisbon/Tomar in portugal?,2,"[['Quimera Brewpub has 12 taps of craft beers and bottles, all produced either by Quimera Brewpub or from good Portuguese micro breweries', 'This restaurant is a brewpub that sells beer and Portuguese food']]"
stack,4,Are there any microbrewery in Lisbon/Tomar in portugal?,5,"[['During a stay with friends in september (Belgians)'], ['We bought some American Pale Ale (4,9 %) and some Rye IPA (6,8 %).']]"
stack,4,Are there any microbrewery in Lisbon/Tomar in portugal?,6,[['The microbrewery is quite micro indeed.']]
stack,4,Are there any microbrewery in Lisbon/Tomar in portugal?,8,"[['Dois Corvos Cervejeira Lisbon Portugal', '100 Maneiras Rua do Teixeira, 35 Lisbon Portugal', 'Go to http://www.ratebeer.com/search.php and in the Brewer Search enter Lisbon in the City and Portugal in the Country, then click Search', 'Amnesia Brewery Oeiras, Lisbon Portugal', 'Cerveja Aroeira Lisbon Portugal']]"
stack,5,Was Rogue One not a Star Wars Episode movie?,1,"[[""There is an absence of 'Episode Roman Numeral' in its full title"", 'Episodic films tell the main story (Eps 1-7 currently)', 'Rogue One is its own tale.', ""Rogue One is not called 'Star Wars Episode 3½: Rogue One', but 'Rogue One: A Star Wars Story'."", 'Episodic films tell the main story', 'While the events in Rogue One are related and somewhat relevant to that saga and even show members of the Skywalker family, it is not part of that journey', 'Anthology films tell side stories (like how the death star plans from Ep 4 came into the possession of the rebels or the background story of Han Solo ...)', 'Rogue One takes place between Star Wars Episode III: Revenge of the Sith and Star Wars Episode IV: A New Hope', 'Rogue One sits narratively between episodes 3 and 4.', ""The film's producer made it clear in a press-release"", ""Rogue One is 'just' an anthology film"", ""There's no room left for a numeral in between"", 'The Star Wars Episodes (so far) tell the saga of the Skywalker family in general and the journeys of Luke Skywalker and his father Anakin in specific', 'Disney created the anthology films to fill in the gaps in a different way', 'Anthology films tell side stories']]"
stack,5,Was Rogue One not a Star Wars Episode movie?,3,"[['Things like the crawl at the beginning, and the wipes']]"
stack,6,"Is saying ""I have checked futilely"" correct?",0,"[['If you set out to find an item and you eventually find it, your search was not futile, even if you had to look in many different places', 'After checking a few stores futilely', ""futile: 'having no result or effect: pointless or useless' Merriam Webster"", 'a $20 bill that you dropped and someone else scooped up 5 minutes later'], [""many of the 'prank items' used in the Armed forces, like telling the new private to go get a 'long weight' from the quartermaster or to bring someone a 'left-handed smoke shifter'""]]"
stack,6,"Is saying ""I have checked futilely"" correct?",1,"[['it is uncommon', 'it is not particularly elegant']]"
stack,6,"Is saying ""I have checked futilely"" correct?",2,"[['After fruitlessly checking a few stores, I found a store that had what I needed.']]"
stack,6,"Is saying ""I have checked futilely"" correct?",4,"[[""it's where the word actually is that causes the clash""], [""futile can't be an 'active' hopeless - more a finality""]]"
stack,7,Which ATMs offer no-fee cash withdrawals in Chile?,0,[['My bank will not charge me fees for withdrawals']]
stack,7,Which ATMs offer no-fee cash withdrawals in Chile?,2,"[[""I've tried with 3 or 4 different banks"", ""once I've aborted my withdrawal because the machine told me it was going to charge for my withdrawal"", ""Banco Estado didn't charge anything extra a few months ago"", 'Now several Banco Estado ATMs all want 4000clp', 'Banco Estado does not limit you to 200,000CLP', 'I was able to withdraw money without the ATM charges today from a Banco Security ATM', ""I've only found one bank in Chile that doesn't charge an ATM fee"", 'an ATM from the same bank did not charge', 'I use a French ATM Visa Debit card', 'Brian was able to withdraw money without the ATM charges today from a Banco Security ATM', 'You can withdraw more than 200,000CLP, e.g. 400,000CLP for only a 1% hit', 'corroborating what Brian has said', 'two days ago I found that they now charge 5000 CLP fee', ""It's Banco Security, Apoquindo 3150, Las Condes, Región Metropolitana""], [""I have been using Banco Security's ATM in Centro (Agustinas-Moneda) for the last three years""]]"
stack,7,Which ATMs offer no-fee cash withdrawals in Chile?,3,"[['The ATM is only open from 9am to 2pm, Monday to Friday']]"
stack,7,Which ATMs offer no-fee cash withdrawals in Chile?,6,[['Banco BICE ATMs seem to be few and far between']]
stack,7,Which ATMs offer no-fee cash withdrawals in Chile?,8,"[[""There's also a Banco Security in Santiago Centro""], ['the ATM has only been available occasionally when I visited']]"
stack,7,Which ATMs offer no-fee cash withdrawals in Chile?,11,"[[""I didn't try Banco Security in Las Condes""], [""I doubt it's different""]]"
stack,8,"Is there as more positive sounding word to use in place of 'viral' or 'contagious', in regard to an idea or campaign?",0,"[['All these words relate to sickness', 'The campaign is one of social healing']]"
stack,8,"Is there as more positive sounding word to use in place of 'viral' or 'contagious', in regard to an idea or campaign?",1,"[[""Nobody turns their noses up at a 'viral' piece of information"", 'When a video or advertisement is said to be viral that in itself will attract even more visits', ""When a YouTube video goes 'viral' it just means it has attracted a huge number of visits in a very brief period of time.""]]"
stack,8,"Is there as more positive sounding word to use in place of 'viral' or 'contagious', in regard to an idea or campaign?",2,"[['ODO', 'the campaign was snowballing', 'All of them refer to something developing swiftly/vigorously and in a healthy manner', 'burgeon means to begin to grow or increase rapidly; flourish', 'the etymology of burgeon suggest new life'], ['Webster defines exponential as increasingly rapid']]"
stack,8,"Is there as more positive sounding word to use in place of 'viral' or 'contagious', in regard to an idea or campaign?",3,[['Memetic is not much better than viral']]
stack,8,"Is there as more positive sounding word to use in place of 'viral' or 'contagious', in regard to an idea or campaign?",4,"[['to make widely known to the public', 'to release']]"
stack,8,"Is there as more positive sounding word to use in place of 'viral' or 'contagious', in regard to an idea or campaign?",5,"[['disseminate or circulate very quickly', 'quickly affects or becomes known by more and more people', 'something spreads rapidly']]"
